tarefa,alvo,modelo,roc_auc_media,roc_auc_std,pr_auc_media,pr_auc_std,f1_media,f1_std,sensibilidade_media,sensibilidade_std,especificidade_media,especificidade_std,acurácia_media,acurácia_std
baixo_peso,BAIXO_PESO,Dummy (majoritário),0.5,0.0,0.017661277772974843,6.5704158381599265e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.9823387222270252,6.570415838158538e-06
baixo_peso,BAIXO_PESO,Regressão Logística,0.7853319660907234,0.044159603178202965,0.1252513585598178,0.025988296136494768,0.08345861003862351,0.010737804154511211,0.7052631578947368,0.10837505411565264,0.7276701499383619,0.00763564894303383,0.7272739690498833,0.006266437681690177
baixo_peso,BAIXO_PESO,Random Forest,0.7286711048768822,0.05392479148985357,0.06007796651314621,0.026829419930293582,0.04205128205128204,0.03453837587791331,0.031578947368421054,0.0257841025556124,0.9914835440497691,0.0014668117466963646,0.9745304746260915,0.0016221025990047157
baixo_peso,BAIXO_PESO,XGBoost,0.6987268319428915,0.045810242832254766,0.04207238451263305,0.009570769265757588,0.06610378179240192,0.03760029925303263,0.19999999999999998,0.10205641805087008,0.9091622229867262,0.009902917170654882,0.8966378490533413,0.011167454172969686
prematuro,PREMATURO,Dummy (majoritário),0.5,0.0,0.10299299731996196,0.000333707962306562,0.0,0.0,0.0,0.0,1.0,0.0,0.8970070026800381,0.000333707962306562
prematuro,PREMATURO,Regressão Logística,0.5255044578257013,0.016530350773583193,0.12055659059603605,0.01039421894679527,0.18275596594045612,0.01629558283456082,0.4350040950040951,0.04375088576863897,0.6178238341968912,0.027909334961851585,0.5989947263767614,0.023903160248153903
prematuro,PREMATURO,Random Forest,0.49523191302465913,0.02541830787506721,0.10197898823232451,0.00443036792383132,0.10020041818637615,0.022591334054411986,0.11004095004095005,0.024238528141665397,0.8752331606217616,0.012411029986801951,0.7964319183885192,0.011419436262849428
prematuro,PREMATURO,XGBoost,0.49638769716489917,0.02980273794315313,0.11236872557787056,0.016560048565838932,0.15016695717276665,0.01766886631699486,0.3141031941031941,0.028961165990944362,0.6686010362694301,0.026487987204265224,0.6320918129160542,0.025166572339861484
